Salinity,Generation,Chemical,Gene,ddCT
10,0,Cyhalothrin,cyp1a1,2.043777778
10,0,Cyhalothrin,dnmt3,0.089666667
10,0,Cyhalothrin,esr,-1.127555556
10,0,Cyhalothrin,igf2,0.359666667
10,0,Cyhalothrin,rps6,0.442666667
10,0,Cyhalothrin,17bHSD,-0.576777778
10,0,Cyhalothrin,arx,-0.908777778
10,0,Cyhalothrin,atp1,-0.618666667
10,0,Cyhalothrin,atp2,-0.308777778
10,0,Cyhalothrin,cyp1a1,-1.696222222
10,0,Cyhalothrin,dnmt3,-0.271333333
10,0,Cyhalothrin,esr,1.969444444
10,0,Cyhalothrin,igf2,-0.720333333
10,0,Cyhalothrin,rps6,-0.867333333
10,0,Cyhalothrin,17bHSD,0.118222222
10,0,Cyhalothrin,arx,-1.536777778
10,0,Cyhalothrin,atp1,-1.145666667
10,0,Cyhalothrin,atp2,-0.561777778
10,0,Cyhalothrin,cyp1a1,-2.112222222
10,0,Cyhalothrin,dnmt3,-0.829333333
10,0,Cyhalothrin,esr,1.949444444
10,0,Cyhalothrin,igf2,-1.300333333
10,0,Cyhalothrin,rps6,-1.252333333
10,0,Cyhalothrin,17bHSD,-0.231777778
10,0,Cyhalothrin,arx,-2.238777778
10,0,Cyhalothrin,atp1,-1.312666667
10,0,Cyhalothrin,atp2,-0.802777778
10,0,Cyhalothrin,cyp1a1,-2.035222222
10,0,Cyhalothrin,dnmt3,-0.520333333
10,0,Cyhalothrin,esr,1.897444444
10,0,Cyhalothrin,igf2,-1.139333333
10,0,Cyhalothrin,rps6,-1.081333333
6,1,Control,17bHSD,0.121666667
6,1,Control,arx,-0.306833333
6,1,Control,atp1,0.201666667
6,1,Control,atp2,0.452666667
6,1,Control,cyp1a1,0.452666667
6,1,Control,dnmt3,-0.007333333
6,1,Control,esr,-0.169833333
6,1,Control,igf2,-0.242333333
6,1,Control,rps6,-0.502333333
6,1,Control,17bHSD,-0.433916667
6,1,Control,arx,-0.695416667
6,1,Control,atp1,0.135083333
6,1,Control,atp2,0.868083333
6,1,Control,cyp1a1,0.008083333
6,1,Control,dnmt3,0.118083333
6,1,Control,esr,-0.570416667
6,1,Control,igf2,0.073083333
6,1,Control,rps6,-0.163916667
6,1,Control,17bHSD,-0.07425
6,1,Control,arx,-0.09675
6,1,Control,atp1,0.28675
6,1,Control,atp2,0.11275
6,1,Control,cyp1a1,-0.15925
6,1,Control,dnmt3,-0.06925
6,1,Control,esr,-0.62775
6,1,Control,igf2,-0.13725
6,1,Control,rps6,-0.34925
6,1,Control,17bHSD,-0.806083333
6,1,Control,arx,-1.027583333
6,1,Control,atp1,-0.844083333
6,1,Control,atp2,1.579916667
6,1,Control,cyp1a1,1.406916667
6,1,Control,dnmt3,-0.309083333
6,1,Control,esr,-0.550583333
6,1,Control,igf2,0.066916667
6,1,Control,rps6,-5.196083333
6,1,Control,17bHSD,0.04525
6,1,Control,arx,-0.27125
6,1,Control,atp1,0.35325
6,1,Control,atp2,-0.27375
6,1,Control,cyp1a1,-0.47975
6,1,Control,dnmt3,0.62625
6,1,Control,esr,-0.25625
6,1,Control,igf2,0.40225
6,1,Control,rps6,0.40025
6,1,Control,17bHSD,0.0665
6,1,Control,arx,
6,1,Control,atp1,
6,1,Control,atp2,0.2885
6,1,Control,cyp1a1,-0.1875
6,1,Control,dnmt3,-0.1675
6,1,Control,esr,-3.659
6,1,Control,igf2,0.9825
6,1,Control,rps6,0.9135
6,1,Control,17bHSD,-0.594583333
6,1,Control,arx,-0.669083333
6,1,Control,atp1,3.997416667
6,1,Control,atp2,-0.739583333
6,1,Control,cyp1a1,-0.886583333
6,1,Control,dnmt3,-1.107583333
6,1,Control,esr,-2.155083333
6,1,Control,igf2,-1.686583333
6,1,Control,rps6,-3.211583333
6,1,Control,17bHSD,-0.316916667
6,1,Control,arx,0.647583333
6,1,Control,atp1,-0.549916667
6,1,Control,atp2,0.288083333
6,1,Control,cyp1a1,-0.153916667
6,1,Control,dnmt3,0.085083333
6,1,Control,esr,-1.438416667
6,1,Control,igf2,-0.956916667
6,1,Control,rps6,-1.387916667
6,1,Control,17bHSD,-0.194083333
6,1,Control,arx,1.118416667
6,1,Control,atp1,-0.084083333
6,1,Control,atp2,0.014916667
6,1,Control,cyp1a1,-0.595083333
6,1,Control,dnmt3,-0.260083333
6,1,Control,esr,-0.466583333
6,1,Control,igf2,-0.233083333
6,1,Control,rps6,-0.461083333
6,1,Bifenthrin,17bHSD,0.930166667
6,1,Bifenthrin,arx,-0.025416667
6,1,Bifenthrin,atp1,-1.86175
6,1,Bifenthrin,atp2,0.386416667
6,1,Bifenthrin,cyp1a1,0.20475
6,1,Bifenthrin,dnmt3,-6.974
6,1,Bifenthrin,esr,-0.393083333
6,1,Bifenthrin,igf2,-0.438416667
6,1,Bifenthrin,rps6,0.691416667
6,1,Bifenthrin,17bHSD,0.346666667
6,1,Bifenthrin,arx,-0.767916667
6,1,Bifenthrin,atp1,-2.22425
6,1,Bifenthrin,atp2,0.023916667
6,1,Bifenthrin,cyp1a1,0.31925
6,1,Bifenthrin,dnmt3,0.1315
6,1,Bifenthrin,esr,-1.166583333
6,1,Bifenthrin,igf2,-0.889916667
6,1,Bifenthrin,rps6,0.376916667
6,1,Bifenthrin,17bHSD,-7.230333333
6,1,Bifenthrin,arx,-0.189916667
6,1,Bifenthrin,atp1,-2.33525
6,1,Bifenthrin,atp2,-0.087083333
6,1,Bifenthrin,cyp1a1,0.59025
6,1,Bifenthrin,dnmt3,0.0275
6,1,Bifenthrin,esr,-0.915583333
6,1,Bifenthrin,igf2,
6,1,Bifenthrin,rps6,
6,1,Bifenthrin,17bHSD,0.913166667
6,1,Bifenthrin,arx,1.976583333
6,1,Bifenthrin,atp1,-0.68675
6,1,Bifenthrin,atp2,1.561416667
6,1,Bifenthrin,cyp1a1,3.03575
6,1,Bifenthrin,dnmt3,2.029
6,1,Bifenthrin,esr,-1.118083333
6,1,Bifenthrin,igf2,0.731583333
6,1,Bifenthrin,rps6,1.306416667
6,1,Bifenthrin,17bHSD,1.812166667
6,1,Bifenthrin,arx,2.379583333
6,1,Bifenthrin,atp1,-0.22175
6,1,Bifenthrin,atp2,2.026416667
6,1,Bifenthrin,cyp1a1,3.41175
6,1,Bifenthrin,dnmt3,2.374
6,1,Bifenthrin,esr,0.075916667
6,1,Bifenthrin,igf2,1.566583333
6,1,Bifenthrin,rps6,1.642416667
6,1,Bifenthrin,17bHSD,0.741666667
6,1,Bifenthrin,arx,1.135083333
6,1,Bifenthrin,atp1,-0.88225
6,1,Bifenthrin,atp2,1.365916667
6,1,Bifenthrin,cyp1a1,2.73025
6,1,Bifenthrin,dnmt3,1.7355
6,1,Bifenthrin,esr,-1.117583333
6,1,Bifenthrin,igf2,0.908083333
6,1,Bifenthrin,rps6,1.198916667
6,1,Bifenthrin,17bHSD,-0.029333333
6,1,Bifenthrin,arx,-0.521916667
6,1,Bifenthrin,atp1,-1.58325
6,1,Bifenthrin,atp2,0.664916667
6,1,Bifenthrin,cyp1a1,0.94025
6,1,Bifenthrin,dnmt3,1.2275
6,1,Bifenthrin,esr,-0.687583333
6,1,Bifenthrin,igf2,-0.325916667
6,1,Bifenthrin,rps6,-0.193083333
6,1,Bifenthrin,17bHSD,2.166666667
6,1,Bifenthrin,arx,2.169083333
6,1,Bifenthrin,atp1,0.46575
6,1,Bifenthrin,atp2,2.713916667
6,1,Bifenthrin,cyp1a1,2.85625
6,1,Bifenthrin,dnmt3,3.2205
6,1,Bifenthrin,esr,1.142416667
6,1,Bifenthrin,igf2,1.193083333
6,1,Bifenthrin,rps6,2.257916667
6,1,Bifenthrin,17bHSD,8.107166667
6,1,Bifenthrin,arx,7.935583333
6,1,Bifenthrin,atp1,6.39725
6,1,Bifenthrin,atp2,8.645416667
6,1,Bifenthrin,cyp1a1,8.99875
6,1,Bifenthrin,dnmt3,9.167
6,1,Bifenthrin,esr,7.220916667
6,1,Bifenthrin,igf2,7.354583333
6,1,Bifenthrin,rps6,8.728416667
6,1,Cyfluthrin,17bHSD,0
6,1,Cyfluthrin,arx,-2.351416667
6,1,Cyfluthrin,atp1,-0.06975
6,1,Cyfluthrin,atp2,-2.564583333
6,1,Cyfluthrin,cyp1a1,2.87075
6,1,Cyfluthrin,dnmt3,2.543
6,1,Cyfluthrin,esr,0.219916667
6,1,Cyfluthrin,igf2,2.036583333
6,1,Cyfluthrin,rps6,2.974416667
6,1,Cyfluthrin,17bHSD,3.343666667
6,1,Cyfluthrin,arx,0
6,1,Cyfluthrin,atp1,0.83875
6,1,Cyfluthrin,atp2,-1.901083333
6,1,Cyfluthrin,cyp1a1,4.17725
6,1,Cyfluthrin,dnmt3,2.9565
6,1,Cyfluthrin,esr,2.018416667
6,1,Cyfluthrin,igf2,2.557083333
6,1,Cyfluthrin,rps6,3.013916667
6,1,Cyfluthrin,17bHSD,2.849166667
6,1,Cyfluthrin,arx,-2.100416667
6,1,Cyfluthrin,atp1,0.28125
6,1,Cyfluthrin,atp2,-2.254583333
6,1,Cyfluthrin,cyp1a1,3.31275
6,1,Cyfluthrin,dnmt3,2.253
6,1,Cyfluthrin,esr,1.348916667
6,1,Cyfluthrin,igf2,2.308583333
6,1,Cyfluthrin,rps6,2.367416667
6,1,Cyfluthrin,17bHSD,-1.615333333
6,1,Cyfluthrin,arx,-0.588916667
6,1,Cyfluthrin,atp1,-0.67825
6,1,Cyfluthrin,atp2,-0.701083333
6,1,Cyfluthrin,cyp1a1,-1.43875
6,1,Cyfluthrin,dnmt3,0.7635
6,1,Cyfluthrin,esr,-2.883583333
6,1,Cyfluthrin,igf2,-2.670916667
6,1,Cyfluthrin,rps6,-0.060083333
6,1,Cyfluthrin,17bHSD,-1.682833333
6,1,Cyfluthrin,arx,-0.513416667
6,1,Cyfluthrin,atp1,-0.85875
6,1,Cyfluthrin,atp2,-0.704583333
6,1,Cyfluthrin,cyp1a1,-1.64825
6,1,Cyfluthrin,dnmt3,-0.303
6,1,Cyfluthrin,esr,-0.937083333
6,1,Cyfluthrin,igf2,-1.213416667
6,1,Cyfluthrin,rps6,-1.559583333
6,1,Cyfluthrin,17bHSD,
6,1,Cyfluthrin,arx,-0.070416667
6,1,Cyfluthrin,atp1,-0.33575
6,1,Cyfluthrin,atp2,-0.532583333
6,1,Cyfluthrin,cyp1a1,-0.64325
6,1,Cyfluthrin,dnmt3,0.32
6,1,Cyfluthrin,esr,-1.753083333
6,1,Cyfluthrin,igf2,-0.686416667
6,1,Cyfluthrin,rps6,2.375416667
6,1,Cyfluthrin,17bHSD,-0.560833333
6,1,Cyfluthrin,arx,5.974083333
6,1,Cyfluthrin,atp1,4.86875
6,1,Cyfluthrin,atp2,5.725916667
6,1,Cyfluthrin,cyp1a1,5.42725
6,1,Cyfluthrin,dnmt3,-0.0375
6,1,Cyfluthrin,esr,10.34641667
6,1,Cyfluthrin,igf2,4.483083333
6,1,Cyfluthrin,rps6,5.297916667
6,1,Cyfluthrin,17bHSD,3.373666667
6,1,Cyfluthrin,arx,3.529083333
6,1,Cyfluthrin,atp1,2.58975
6,1,Cyfluthrin,atp2,3.456916667
6,1,Cyfluthrin,cyp1a1,3.27825
6,1,Cyfluthrin,dnmt3,-0.9475
6,1,Cyfluthrin,esr,8.160416667
6,1,Cyfluthrin,igf2,2.552083333
6,1,Cyfluthrin,rps6,3.191916667
6,1,Cyfluthrin,17bHSD,5.248166667
6,1,Cyfluthrin,arx,4.344583333
6,1,Cyfluthrin,atp1,4.85325
6,1,Cyfluthrin,atp2,4.998416667
6,1,Cyfluthrin,cyp1a1,4.84075
6,1,Cyfluthrin,dnmt3,0.562
6,1,Cyfluthrin,esr,9.841916667
6,1,Cyfluthrin,igf2,4.251583333
6,1,Cyfluthrin,rps6,4.976416667
6,1,Cyhalothrin,17bHSD,-1.828333333
6,1,Cyhalothrin,arx,-0.221916667
6,1,Cyhalothrin,atp1,0.75175
6,1,Cyhalothrin,atp2,-0.402083333
6,1,Cyhalothrin,cyp1a1,-0.19075
6,1,Cyhalothrin,dnmt3,-0.5145
6,1,Cyhalothrin,esr,3.987416667
6,1,Cyhalothrin,igf2,-0.486916667
6,1,Cyhalothrin,rps6,0.082916667
6,1,Cyhalothrin,17bHSD,-1.829833333
6,1,Cyhalothrin,arx,-0.560416667
6,1,Cyhalothrin,atp1,0.46325
6,1,Cyhalothrin,atp2,-0.717583333
6,1,Cyhalothrin,cyp1a1,0.87975
6,1,Cyhalothrin,dnmt3,0.759
6,1,Cyhalothrin,esr,
6,1,Cyhalothrin,igf2,0.171583333
6,1,Cyhalothrin,rps6,0.727416667
6,1,Cyhalothrin,17bHSD,-0.193333333
6,1,Cyhalothrin,arx,3.275083333
6,1,Cyhalothrin,atp1,2.75975
6,1,Cyhalothrin,atp2,3.188916667
6,1,Cyhalothrin,cyp1a1,3.35025
6,1,Cyhalothrin,dnmt3,4.1575
6,1,Cyhalothrin,esr,
6,1,Cyhalothrin,igf2,2.310083333
6,1,Cyhalothrin,rps6,2.884916667
6,1,Cyhalothrin,17bHSD,-2.236833333
6,1,Cyhalothrin,arx,-0.740416667
6,1,Cyhalothrin,atp1,-0.87075
6,1,Cyhalothrin,atp2,-0.351583333
6,1,Cyhalothrin,cyp1a1,0.73275
6,1,Cyhalothrin,dnmt3,-0.218
6,1,Cyhalothrin,esr,-1.801083333
6,1,Cyhalothrin,igf2,-2.006416667
6,1,Cyhalothrin,rps6,-0.468583333
6,1,Cyhalothrin,17bHSD,-1.997833333
6,1,Cyhalothrin,arx,0.306583333
6,1,Cyhalothrin,atp1,-0.07675
6,1,Cyhalothrin,atp2,0.310416667
6,1,Cyhalothrin,cyp1a1,1.53675
6,1,Cyhalothrin,dnmt3,-0.079
6,1,Cyhalothrin,esr,-1.084083333
6,1,Cyhalothrin,igf2,-1.401416667
6,1,Cyhalothrin,rps6,0.099416667
6,1,Cyhalothrin,17bHSD,-2.136833333
6,1,Cyhalothrin,arx,-0.799416667
6,1,Cyhalothrin,atp1,-0.74675
6,1,Cyhalothrin,atp2,-0.679583333
6,1,Cyhalothrin,cyp1a1,0.83775
6,1,Cyhalothrin,dnmt3,-0.525
6,1,Cyhalothrin,esr,-2.023083333
6,1,Cyhalothrin,igf2,-2.018416667
6,1,Cyhalothrin,rps6,-0.431583333
6,1,Cyhalothrin,17bHSD,-2.563333333
6,1,Cyhalothrin,arx,-0.157916667
6,1,Cyhalothrin,atp1,-0.34525
6,1,Cyhalothrin,atp2,-0.619083333
6,1,Cyhalothrin,cyp1a1,-0.59975
6,1,Cyhalothrin,dnmt3,-6.4385
6,1,Cyhalothrin,esr,3.825416667
6,1,Cyhalothrin,igf2,-1.771916667
6,1,Cyhalothrin,rps6,-0.778083333
6,1,Cyhalothrin,17bHSD,-1.890333333
6,1,Cyhalothrin,arx,0.289083333
6,1,Cyhalothrin,atp1,-0.39225
6,1,Cyhalothrin,atp2,-0.328083333
6,1,Cyhalothrin,cyp1a1,-0.02275
6,1,Cyhalothrin,dnmt3,-5.3035
6,1,Cyhalothrin,esr,3.965416667
6,1,Cyhalothrin,igf2,-1.413916667
6,1,Cyhalothrin,rps6,-0.648083333
6,1,Cyhalothrin,17bHSD,-1.599333333
6,1,Cyhalothrin,arx,0.690083333
6,1,Cyhalothrin,atp1,0.42475
6,1,Cyhalothrin,atp2,1.644916667
6,1,Cyhalothrin,cyp1a1,-0.39075
6,1,Cyhalothrin,dnmt3,-4.9565
6,1,Cyhalothrin,esr,3.913416667
6,1,Cyhalothrin,igf2,-1.235916667
6,1,Cyhalothrin,rps6,-0.513083333
10,1,Control,17bHSD,-3.057083333
10,1,Control,arx,-0.31475
10,1,Control,atp1,0.600916667
10,1,Control,atp2,0.157416667
10,1,Control,cyp1a1,-0.12825
10,1,Control,dnmt3,0.885083333
10,1,Control,esr,0.184916667
10,1,Control,igf2,0.437583333
10,1,Control,rps6,0.07725
10,1,Control,17bHSD,0.982416667
10,1,Control,arx,-0.49025
10,1,Control,atp1,0.494416667
10,1,Control,atp2,-0.112083333
10,1,Control,cyp1a1,-0.60875
10,1,Control,dnmt3,0.678583333
10,1,Control,esr,0.598416667
10,1,Control,igf2,0.748083333
10,1,Control,rps6,0.19575
10,1,Control,17bHSD,1.474416667
10,1,Control,arx,0.31875
10,1,Control,atp1,0.870416667
10,1,Control,atp2,0.039916667
10,1,Control,cyp1a1,-0.60175
10,1,Control,dnmt3,1.388583333
10,1,Control,esr,1.389416667
10,1,Control,igf2,1.077083333
10,1,Control,rps6,0.49275
10,1,Control,17bHSD,-0.257583333
10,1,Control,arx,0.30775
10,1,Control,atp1,-1.078583333
10,1,Control,atp2,-0.539083333
10,1,Control,cyp1a1,0.09825
10,1,Control,dnmt3,-1.264416667
10,1,Control,esr,-1.246583333
10,1,Control,igf2,-1.181916667
10,1,Control,rps6,-0.58725
10,1,Control,17bHSD,0.245916667
10,1,Control,arx,-0.25775
10,1,Control,atp1,-0.685083333
10,1,Control,atp2,-0.023583333
10,1,Control,cyp1a1,0.31075
10,1,Control,dnmt3,-1.018916667
10,1,Control,esr,-0.821083333
10,1,Control,igf2,-0.783416667
10,1,Control,rps6,-0.39475
10,1,Control,17bHSD,0.611916667
10,1,Control,arx,0.43625
10,1,Control,atp1,-0.202083333
10,1,Control,atp2,0.477416667
10,1,Control,cyp1a1,0.92975
10,1,Control,dnmt3,-0.668916667
10,1,Control,esr,-0.105083333
10,1,Control,igf2,-0.297416667
10,1,Control,rps6,0.21625
10,1,Control,17bHSD,0.425916667
10,1,Control,arx,1.02525
10,1,Control,atp1,0.733916667
10,1,Control,atp2,0.102416667
10,1,Control,cyp1a1,1.03775
10,1,Control,dnmt3,-0.294916667
10,1,Control,esr,-0.715083333
10,1,Control,igf2,0.652583333
10,1,Control,rps6,-0.30775
10,1,Control,17bHSD,0.488916667
10,1,Control,arx,0.62525
10,1,Control,atp1,-0.324083333
10,1,Control,atp2,-0.112583333
10,1,Control,cyp1a1,1.74675
10,1,Control,dnmt3,-0.192916667
10,1,Control,esr,-2.091083333
10,1,Control,igf2,-1.457416667
10,1,Control,rps6,1.35725
10,1,Control,17bHSD,1.163416667
10,1,Control,arx,0.20275
10,1,Control,atp1,-0.480583333
10,1,Control,atp2,0.203916667
10,1,Control,cyp1a1,1.54925
10,1,Control,dnmt3,0.795583333
10,1,Control,esr,0.454416667
10,1,Control,igf2,0.377083333
10,1,Control,rps6,1.95875
10,1,Bifenthrin,17bHSD,2.171416667
10,1,Bifenthrin,arx,1.37175
10,1,Bifenthrin,atp1,1.999416667
10,1,Bifenthrin,atp2,1.073916667
10,1,Bifenthrin,cyp1a1,1.05525
10,1,Bifenthrin,dnmt3,1.666583333
10,1,Bifenthrin,esr,0.390416667
10,1,Bifenthrin,igf2,0.751083333
10,1,Bifenthrin,rps6,0.62575
10,1,Bifenthrin,17bHSD,1.780916667
10,1,Bifenthrin,arx,0.55125
10,1,Bifenthrin,atp1,1.741916667
10,1,Bifenthrin,atp2,0.690416667
10,1,Bifenthrin,cyp1a1,1.05475
10,1,Bifenthrin,dnmt3,1.222083333
10,1,Bifenthrin,esr,1.104916667
10,1,Bifenthrin,igf2,0.013583333
10,1,Bifenthrin,rps6,0.05025
10,1,Bifenthrin,17bHSD,
10,1,Bifenthrin,arx,0.62125
10,1,Bifenthrin,atp1,2.446916667
10,1,Bifenthrin,atp2,1.701416667
10,1,Bifenthrin,cyp1a1,1.65375
10,1,Bifenthrin,dnmt3,1.831083333
10,1,Bifenthrin,esr,0.353916667
10,1,Bifenthrin,igf2,0.957583333
10,1,Bifenthrin,rps6,0.82825
10,1,Bifenthrin,17bHSD,0.662416667
10,1,Bifenthrin,arx,0.17275
10,1,Bifenthrin,atp1,-0.161583333
10,1,Bifenthrin,atp2,0.405916667
10,1,Bifenthrin,cyp1a1,0.27125
10,1,Bifenthrin,dnmt3,-0.364416667
10,1,Bifenthrin,esr,-0.512583333
10,1,Bifenthrin,igf2,-0.419916667
10,1,Bifenthrin,rps6,-0.13025
10,1,Bifenthrin,17bHSD,0.699416667
10,1,Bifenthrin,arx,0.49075
10,1,Bifenthrin,atp1,-0.016583333
10,1,Bifenthrin,atp2,0.229916667
10,1,Bifenthrin,cyp1a1,0.59925
10,1,Bifenthrin,dnmt3,-0.575416667
10,1,Bifenthrin,esr,-0.786583333
10,1,Bifenthrin,igf2,-0.343916667
10,1,Bifenthrin,rps6,-0.37225
10,1,Bifenthrin,17bHSD,3.592416667
10,1,Bifenthrin,arx,3.49675
10,1,Bifenthrin,atp1,3.253416667
10,1,Bifenthrin,atp2,3.643916667
10,1,Bifenthrin,cyp1a1,3.40325
10,1,Bifenthrin,dnmt3,9.732583333
10,1,Bifenthrin,esr,2.601416667
10,1,Bifenthrin,igf2,3.157083333
10,1,Bifenthrin,rps6,3.19275
10,1,Bifenthrin,17bHSD,0.604416667
10,1,Bifenthrin,arx,0.16875
10,1,Bifenthrin,atp1,-0.208583333
10,1,Bifenthrin,atp2,-0.257083333
10,1,Bifenthrin,cyp1a1,0.59725
10,1,Bifenthrin,dnmt3,-0.093416667
10,1,Bifenthrin,esr,-1.140583333
10,1,Bifenthrin,igf2,-0.773916667
10,1,Bifenthrin,rps6,-0.88225
10,1,Bifenthrin,17bHSD,1.840916667
10,1,Bifenthrin,arx,0.65925
10,1,Bifenthrin,atp1,-0.447083333
10,1,Bifenthrin,atp2,0.513416667
10,1,Bifenthrin,cyp1a1,1.95375
10,1,Bifenthrin,dnmt3,-0.439916667
10,1,Bifenthrin,esr,-0.425083333
10,1,Bifenthrin,igf2,-0.018416667
10,1,Bifenthrin,rps6,-0.15875
10,1,Bifenthrin,17bHSD,1.675416667
10,1,Bifenthrin,arx,0.50975
10,1,Bifenthrin,atp1,0.002416667
10,1,Bifenthrin,atp2,0.747916667
10,1,Bifenthrin,cyp1a1,0.90625
10,1,Bifenthrin,dnmt3,0.347583333
10,1,Bifenthrin,esr,0.264416667
10,1,Bifenthrin,igf2,0.314083333
10,1,Bifenthrin,rps6,0.09475
10,1,Cyfluthrin,17bHSD,2.046416667
10,1,Cyfluthrin,arx,-0.804583333
10,1,Cyfluthrin,atp1,1.779416667
10,1,Cyfluthrin,atp2,1.142416667
10,1,Cyfluthrin,cyp1a1,0.876416667
10,1,Cyfluthrin,dnmt3,-3.848583333
10,1,Cyfluthrin,esr,1.239416667
10,1,Cyfluthrin,igf2,2.000416667
10,1,Cyfluthrin,rps6,1.577416667
10,1,Cyfluthrin,17bHSD,2.146416667
10,1,Cyfluthrin,arx,-0.163583333
10,1,Cyfluthrin,atp1,1.687416667
10,1,Cyfluthrin,atp2,1.179416667
10,1,Cyfluthrin,cyp1a1,1.152416667
10,1,Cyfluthrin,dnmt3,-4.245583333
10,1,Cyfluthrin,esr,1.652416667
10,1,Cyfluthrin,igf2,2.127416667
10,1,Cyfluthrin,rps6,1.599416667
10,1,Cyfluthrin,17bHSD,-0.032583333
10,1,Cyfluthrin,arx,-0.023083333
10,1,Cyfluthrin,atp1,1.796916667
10,1,Cyfluthrin,atp2,1.262916667
10,1,Cyfluthrin,cyp1a1,0.962916667
10,1,Cyfluthrin,dnmt3,-4.173083333
10,1,Cyfluthrin,esr,0.908916667
10,1,Cyfluthrin,igf2,2.157916667
10,1,Cyfluthrin,rps6,0.458916667
10,1,Cyfluthrin,17bHSD,1.185416667
10,1,Cyfluthrin,arx,-0.213583333
10,1,Cyfluthrin,atp1,-0.717583333
10,1,Cyfluthrin,atp2,0.742416667
10,1,Cyfluthrin,cyp1a1,0.855416667
10,1,Cyfluthrin,dnmt3,-5.422583333
10,1,Cyfluthrin,esr,-4.012583333
10,1,Cyfluthrin,igf2,0.363416667
10,1,Cyfluthrin,rps6,1.343416667
10,1,Cyfluthrin,17bHSD,1.165416667
10,1,Cyfluthrin,arx,0.019916667
10,1,Cyfluthrin,atp1,-0.406083333
10,1,Cyfluthrin,atp2,1.472916667
10,1,Cyfluthrin,cyp1a1,2.046916667
10,1,Cyfluthrin,dnmt3,-4.776083333
10,1,Cyfluthrin,esr,-1.298083333
10,1,Cyfluthrin,igf2,1.445916667
10,1,Cyfluthrin,rps6,1.264916667
10,1,Cyfluthrin,17bHSD,1.535416667
10,1,Cyfluthrin,arx,-0.857583333
10,1,Cyfluthrin,atp1,-0.605583333
10,1,Cyfluthrin,atp2,1.239416667
10,1,Cyfluthrin,cyp1a1,0.620416667
10,1,Cyfluthrin,dnmt3,-5.396583333
10,1,Cyfluthrin,esr,0.041416667
10,1,Cyfluthrin,igf2,0.889416667
10,1,Cyfluthrin,rps6,1.249416667
10,1,Cyfluthrin,17bHSD,0.368416667
10,1,Cyfluthrin,arx,0.476416667
10,1,Cyfluthrin,atp1,0.465416667
10,1,Cyfluthrin,atp2,1.376416667
10,1,Cyfluthrin,cyp1a1,-0.078583333
10,1,Cyfluthrin,dnmt3,-5.801583333
10,1,Cyfluthrin,esr,-0.582583333
10,1,Cyfluthrin,igf2,0.521416667
10,1,Cyfluthrin,rps6,-0.012583333
10,1,Cyfluthrin,17bHSD,-0.023583333
10,1,Cyfluthrin,arx,0.960416667
10,1,Cyfluthrin,atp1,0.412416667
10,1,Cyfluthrin,atp2,1.635416667
10,1,Cyfluthrin,cyp1a1,0.306416667
10,1,Cyfluthrin,dnmt3,-5.094583333
10,1,Cyfluthrin,esr,0.579416667
10,1,Cyfluthrin,igf2,0.534416667
10,1,Cyfluthrin,rps6,0.539416667
10,1,Cyfluthrin,17bHSD,-0.112583333
10,1,Cyfluthrin,arx,0.625416667
10,1,Cyfluthrin,atp1,0.372416667
10,1,Cyfluthrin,atp2,1.532416667
10,1,Cyfluthrin,cyp1a1,0.295416667
10,1,Cyfluthrin,dnmt3,-4.678583333
10,1,Cyfluthrin,esr,-0.267583333
10,1,Cyfluthrin,igf2,0.605416667
10,1,Cyfluthrin,rps6,0.415416667
10,1,Cyhalothrin,17bHSD,2.084916667
10,1,Cyhalothrin,arx,0.44725
10,1,Cyhalothrin,atp1,1.002916667
10,1,Cyhalothrin,atp2,0.220416667
10,1,Cyhalothrin,cyp1a1,0.62975
10,1,Cyhalothrin,dnmt3,2.072083333
10,1,Cyhalothrin,esr,-0.444083333
10,1,Cyhalothrin,igf2,0.673583333
10,1,Cyhalothrin,rps6,0.61425
10,1,Cyhalothrin,17bHSD,1.649416667
10,1,Cyhalothrin,arx,0.70375
10,1,Cyhalothrin,atp1,1.041416667
10,1,Cyhalothrin,atp2,0.289916667
10,1,Cyhalothrin,cyp1a1,0.59825
10,1,Cyhalothrin,dnmt3,1.370583333
10,1,Cyhalothrin,esr,-0.205583333
10,1,Cyhalothrin,igf2,0.075083333
10,1,Cyhalothrin,rps6,0.40075
10,1,Cyhalothrin,17bHSD,0.710416667
10,1,Cyhalothrin,arx,1.00175
10,1,Cyhalothrin,atp1,1.292416667
10,1,Cyhalothrin,atp2,0.435916667
10,1,Cyhalothrin,cyp1a1,0.75225
10,1,Cyhalothrin,dnmt3,1.588583333
10,1,Cyhalothrin,esr,-0.010583333
10,1,Cyhalothrin,igf2,0.365083333
10,1,Cyhalothrin,rps6,0.78375
10,1,Cyhalothrin,17bHSD,0.151416667
10,1,Cyhalothrin,arx,-0.24125
10,1,Cyhalothrin,atp1,-0.807583333
10,1,Cyhalothrin,atp2,-0.137083333
10,1,Cyhalothrin,cyp1a1,0.19925
10,1,Cyhalothrin,dnmt3,-0.587416667
10,1,Cyhalothrin,esr,-5.488583333
10,1,Cyhalothrin,igf2,-0.112916667
10,1,Cyhalothrin,rps6,0.37175
10,1,Cyhalothrin,17bHSD,1.843416667
10,1,Cyhalothrin,arx,0.80975
10,1,Cyhalothrin,atp1,-0.066583333
10,1,Cyhalothrin,atp2,1.048916667
