Salinity,Generation,Chemical,Gene,ddCT
6,0,Bifenthrin,atp1,2.285555556
6,0,Bifenthrin,atp2,2.590555556
6,0,Bifenthrin,cyp1a1,2.054111111
6,0,Bifenthrin,dnmt3,0.208222222
6,0,Bifenthrin,esr,6.887888889
6,0,Bifenthrin,igf2,1.667111111
6,0,Bifenthrin,rps6,1.713777778
6,0,Cyfluthrin,17bHSD,-0.672833333
6,0,Cyfluthrin,arx,-0.019166667
6,0,Cyfluthrin,atp1,-0.833944444
6,0,Cyfluthrin,atp2,0.471055556
6,0,Cyfluthrin,cyp1a1,-0.149388889
6,0,Cyfluthrin,dnmt3,0.603722222
6,0,Cyfluthrin,esr,-2.371611111
6,0,Cyfluthrin,igf2,-0.462388889
6,0,Cyfluthrin,rps6,-0.936722222
6,0,Cyfluthrin,17bHSD,0.019666667
6,0,Cyfluthrin,arx,0.280333333
6,0,Cyfluthrin,atp1,-0.407444444
6,0,Cyfluthrin,atp2,0.650555556
6,0,Cyfluthrin,cyp1a1,0.281111111
6,0,Cyfluthrin,dnmt3,0.989222222
6,0,Cyfluthrin,esr,-2.089111111
6,0,Cyfluthrin,igf2,-0.260888889
6,0,Cyfluthrin,rps6,-1.025222222
6,0,Cyfluthrin,17bHSD,-0.163833333
6,0,Cyfluthrin,arx,0.442833333
6,0,Cyfluthrin,atp1,-0.192944444
6,0,Cyfluthrin,atp2,1.398055556
6,0,Cyfluthrin,cyp1a1,0.561611111
6,0,Cyfluthrin,dnmt3,1.471722222
6,0,Cyfluthrin,esr,-1.262611111
6,0,Cyfluthrin,igf2,0.084611111
6,0,Cyfluthrin,rps6,-0.452722222
6,0,Cyfluthrin,17bHSD,-0.509333333
6,0,Cyfluthrin,arx,0.387333333
6,0,Cyfluthrin,atp1,-0.375444444
6,0,Cyfluthrin,atp2,-0.118444444
6,0,Cyfluthrin,cyp1a1,-1.029888889
6,0,Cyfluthrin,dnmt3,2.006222222
6,0,Cyfluthrin,esr,-2.042111111
6,0,Cyfluthrin,igf2,-1.192888889
6,0,Cyfluthrin,rps6,-1.151222222
6,0,Cyfluthrin,17bHSD,-0.426333333
6,0,Cyfluthrin,arx,-0.069666667
6,0,Cyfluthrin,atp1,-0.681444444
6,0,Cyfluthrin,atp2,-0.635444444
6,0,Cyfluthrin,cyp1a1,-0.748888889
6,0,Cyfluthrin,dnmt3,1.097222222
6,0,Cyfluthrin,esr,-0.838111111
6,0,Cyfluthrin,igf2,-1.097888889
6,0,Cyfluthrin,rps6,-1.162222222
