Chemical,Salinity,Replicate,Pseudoreplicate,Generation,Absorbance 650,Plate,Protein,Absorbance 412,Plate,Cysteine,Cysteine_extinction,nM/min/mg protein,,
Cyhalothrin,10 PSU,B,1,F0,1.3,2,0.437895014,0.268,1,0.111833418,1.89399E-05,0.043252215,,
Control,10 PSU,B,2,F0,0.551,1,0.162333181,0.195,1,0.105201395,1.37809E-05,0.084892803,,
Bifenthrin,10 PSU,B,2,F0,0.755,1,0.209428846,0.215,1,0.106978253,1.51943E-05,0.072551354,,
Cyfluthrin,10 PSU,B,2,F0,0.494,1,0.151180647,0.265,1,0.111552806,1.87279E-05,0.123877729,,
Cyhalothrin,10 PSU,B,2,F0,1.097,2,0.335020436,0.287,1,0.113627094,2.02827E-05,0.060541637,,
Control,10 PSU,B,3,F0,0.55,1,0.162130604,0.172,1,0.103194464,1.21555E-05,0.074973366,,
Bifenthrin,10 PSU,B,3,F0,0.769,1,0.213122205,0.288,1,0.113722291,2.03534E-05,0.095500874,,
Cyfluthrin,10 PSU,B,3,F0,0.433,1,0.140092827,0.269,1,0.111927113,1.90106E-05,0.135700029,,
Cyhalothrin,10 PSU,B,3,F0,1.15,2,0.35928162,0.329,1,0.117694807,2.32509E-05,0.064714926,,
Control,10 PSU,C,1,F0,0.403,2,0.134115416,0.213,2,0.107009664,1.5053E-05,0.112239174,,
Bifenthrin,10 PSU,C,1,F0,0.427,2,0.138429388,0.275,2,0.112830107,1.94346E-05,0.140393808,,
Cyfluthrin,10 PSU,C,1,F0,0.461,2,0.144779443,0.212,2,0.106918289,1.49823E-05,0.103483836,,
Cyhalothrin,10 PSU,C,1,F0,0.792,2,0.224045796,0.256,2,0.111013552,1.80919E-05,0.08075078,,
Control,10 PSU,C,2,F0,0.381,2,0.130279145,0.224,2,0.108019957,1.58304E-05,0.121511303,,
Bifenthrin,10 PSU,C,2,F0,0.436,2,0.140082666,0.26,2,0.111393539,1.83746E-05,0.131169393,,
Cyfluthrin,10 PSU,C,2,F0,0.468,2,0.146122536,0.215,2,0.107192648,1.51943E-05,0.103983593,,
Cyhalothrin,10 PSU,C,2,F0,0.681,2,0.193528486,0.236,2,0.109132976,1.66784E-05,0.086180828,,
Control,10 PSU,C,3,F0,0.378,2,0.12976459,0.215,2,0.107192648,1.51943E-05,0.117091621,,
Bifenthrin,10 PSU,C,3,F0,0.417,2,0.136615287,0.253,2,0.110729414,1.78799E-05,0.130877437,,
