generation,salinity,chemical,replicate,pseudo,length,width,index
0,10,BIF,A,1,3180.99,435.77,0.547967771
0,10,BIF,A,1,2987.03,481.1,0.644251983
0,10,BIF,A,1,3248.5,485.86,0.598257657
0,10,BIF,A,2,3800.94,446.76,0.470157382
0,10,BIF,A,2,3666.1,448.36,0.489195603
0,10,BIF,A,2,3792.23,439.26,0.463326328
0,10,BIF,A,3,3749.67,433.08,0.461992655
0,10,BIF,A,3,3555.23,451.42,0.507894004
0,10,BIF,A,3,3795.44,499.26,0.526168244
0,10,CYF,A,1,3921.32,216.16,0.22049718
0,10,CYF,A,1,3884.59,247.95,0.25531652
0,10,CYF,A,1,3768.13,276.85,0.293885827
0,10,CYF,A,2,3764.59,499.26,0.530480079
0,10,CYF,A,2,3620.78,458.93,0.50699573
0,10,CYF,A,2,3733.24,451.82,0.48410496
0,10,CYF,A,3,3580.68,349.16,0.390048818
0,10,CYF,A,3,3468.48,357.72,0.412538057
0,10,CYF,A,3,3574.58,358.58,0.401255532
0,10,CYH,A,1,3549.08,437.59,0.493186967
0,10,CYH,A,1,3389.45,441.22,0.520698048
0,10,CYH,A,1,3625.65,431.9,0.47649387
0,10,CYH,A,2,3572.23,382.51,0.428315086
0,10,CYH,A,2,3455.6,399.3,0.462206274
0,10,CYH,A,2,3613.46,428.94,0.474824683
0,10,CYH,A,3,3601.34,343.95,0.382024469
0,10,CYH,A,3,3414.7,368.13,0.431229683
0,10,CYH,A,3,3678.37,390.95,0.425133959
0,10,CTL,B,1,3553.02,452.16,0.509043011
0,10,CTL,B,1,3353.69,482.98,0.576058014
0,10,CTL,B,1,3596.62,527.14,0.586261546
0,10,CTL,B,2,4023.61,463.14,0.460422357
0,10,CTL,B,2,3775.58,480.06,0.508594706
0,10,CTL,B,2,4071.93,510.26,0.501246338
0,10,CTL,B,3,3340.71,475.98,0.569914779
0,10,CTL,B,3,3247.24,486.61,0.599413656
0,10,CTL,B,3,3359.62,491.24,0.58487567
0,10,BIF,B,1,3786.61,389.17,0.411101222
0,10,BIF,B,1,3610.16,387.69,0.429554369
0,10,BIF,B,1,3803.17,414.16,0.435594517
0,10,BIF,B,2,3549.29,451.25,0.508552415
0,10,BIF,B,2,3420.16,454.62,0.531694424
0,10,BIF,B,2,3537.6,510.15,0.57683175
0,10,BIF,B,3,3589.69,302.62,0.337210177
0,10,BIF,B,3,3405,330.34,0.388064611
0,10,BIF,B,3,3588.83,353.55,0.394056002
0,10,CYF,B,1,3136.61,422.4,0.538670731
0,10,CYF,B,1,3030.64,438.41,0.578636856
0,10,CYF,B,1,3195.11,438.51,0.548976405
0,10,CYF,B,2,3579.04,378.76,0.423309044
0,10,CYF,B,2,3455.95,374.29,0.433212286
0,10,CYF,B,2,3472.17,397.8,0.458272492
0,10,CYF,B,3,3660.51,412.48,0.450735007
0,10,CYF,B,3,3445.11,409.39,0.475328799
0,10,CYF,B,3,3725.65,414.5,0.445023016
0,10,CYH,B,1,3596.39,502.12,0.558471134
0,10,CYH,B,1,3363.47,518.94,0.617148362
0,10,CYH,B,1,3610.91,514.11,0.569507409
0,10,CYH,B,2,3621.01,374,0.413144399
0,10,CYH,B,2,3469.99,378.76,0.436612209
